"Register address Field Type Accuracy Unit Min. Max. Read and write attributes Remarks Confidentiality level","Register address (Hex)","Field",,"Accuracy","Unit","Min","Max",,"Remarks",,"Mask claculation",
,"153F","HistoryEventList_ms48","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1540","HistoryEventList_ID49","U16",,,,,"R","The 49th most recent historical event ID",,,
,"1541","HistoryEventList_yM49","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1542","HistoryEventList_dH49","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1543","HistoryEventList_ms49","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1544","HistoryEventList_ID50","U16",,,,,"R","The 50th most recent historical event ID",,,
,"1545","HistoryEventList_yM50","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1546","HistoryEventList_dH50","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1547","HistoryEventList_ms50","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1548","HistoryEventList_ID51","U16",,,,,"R","The 51th most recent historical event ID",,,
,"1549","HistoryEventList_yM51","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"154A","HistoryEventList_dH51","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"154B","HistoryEventList_ms51","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"154C","HistoryEventList_ID52","U16",,,,,"R","The 52th most recent historical event ID",,,
,"154D","HistoryEventList_yM52","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"154E","HistoryEventList_dH52","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"154F","HistoryEventList_ms52","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1550","HistoryEventList_ID53","U16",,,,,"R","The 53th most recent historical event ID",,,
,"1551","HistoryEventList_yM53","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1552","HistoryEventList_dH53","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1553","HistoryEventList_ms53","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1554","HistoryEventList_ID54","U16",,,,,"R","The 54th most recent historical event ID",,,
,"1555","HistoryEventList_yM54","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1556","HistoryEventList_dH54","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1557","HistoryEventList_ms54","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1558","HistoryEventList_ID55","U16",,,,,"R","The 55th most recent historical event ID",,,
,"1559","HistoryEventList_yM55","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"155A","HistoryEventList_dH55","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"155B","HistoryEventList_ms55","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"155C","HistoryEventList_ID56","U16",,,,,"R","The 56th most recent historical event ID",,,
,"155D","HistoryEventList_yM56","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"155E","HistoryEventList_dH56","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"155F","HistoryEventList_ms56","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1560","HistoryEventList_ID57","U16",,,,,"R","The 57th most recent historical event ID",,,
,"1561","HistoryEventList_yM57","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1562","HistoryEventList_dH57","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1563","HistoryEventList_ms57","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1564","HistoryEventList_ID58","U16",,,,,"R","The 58th most recent historical event ID",,,
,"1565","HistoryEventList_yM58","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1566","HistoryEventList_dH58","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1567","HistoryEventList_ms58","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1568","HistoryEventList_ID59","U16",,,,,"R","The 59th most recent historical event ID",,,
,"1569","HistoryEventList_yM59","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"156A","HistoryEventList_dH59","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"156B","HistoryEventList_ms59","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"156C","HistoryEventList_ID60","U16",,,,,"R","The 60th most recent historical event ID",,,
,"156D","HistoryEventList_yM60","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"156E","HistoryEventList_dH60","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"156F","HistoryEventList_ms60","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1570","HistoryEventList_ID61","U16",,,,,"R","The 61th most recent historical event ID",,,
,"1571","HistoryEventList_yM61","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1572","HistoryEventList_dH61","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1573","HistoryEventList_ms61","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1574","HistoryEventList_ID62","U16",,,,,"R","The 62th most recent historical event ID",,,
,"1575","HistoryEventList_yM62","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1576","HistoryEventList_dH62","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1577","HistoryEventList_ms62","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1578","HistoryEventList_ID63","U16",,,,,"R","The 63th most recent historical event ID",,,
,"1579","HistoryEventList_yM63","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"157A","HistoryEventList_dH63","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"157B","HistoryEventList_ms63","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"157C","HistoryEventList_ID64","U16",,,,,"R","The 64th most recent historical event ID",,,
,"157D","HistoryEventList_yM64","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"157E","HistoryEventList_dH64","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"157F","HistoryEventList_ms64","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1580","HistoryEventList_ID65","U16",,,,,"R","The 65th most recent historical event ID",,,
,"1581","HistoryEventList_yM65","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1582","HistoryEventList_dH65","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1583","HistoryEventList_ms65","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1584","HistoryEventList_ID66","U16",,,,,"R","The 66th most recent historical event ID",,,
,"1585","HistoryEventList_yM66","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1586","HistoryEventList_dH66","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1587","HistoryEventList_ms66","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1588","HistoryEventList_ID67","U16",,,,,"R","The 67th most recent historical event ID",,,
,"1589","HistoryEventList_yM67","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"158A","HistoryEventList_dH67","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"158B","HistoryEventList_ms67","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"158C","HistoryEventList_ID68","U16",,,,,"R","The 68th most recent historical event ID",,,
,"158D","HistoryEventList_yM68","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"158E","HistoryEventList_dH68","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"158F","HistoryEventList_ms68","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1590","HistoryEventList_ID69","U16",,,,,"R","The 69th most recent historical event ID",,,
,"1591","HistoryEventList_yM69","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1592","HistoryEventList_dH69","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1593","HistoryEventList_ms69","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1594","HistoryEventList_ID70","U16",,,,,"R","The 70th most recent historical event ID",,,
,"1595","HistoryEventList_yM70","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1596","HistoryEventList_dH70","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1597","HistoryEventList_ms70","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1598","HistoryEventList_ID71","U16",,,,,"R","The 71th most recent historical event ID",,,
,"1599","HistoryEventList_yM71","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"159A","HistoryEventList_dH71","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"159B","HistoryEventList_ms71","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"159C","HistoryEventList_ID72","U16",,,,,"R","The 72th most recent historical event ID",,,
,"159D","HistoryEventList_yM72","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"159E","HistoryEventList_dH72","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"159F","HistoryEventList_ms72","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15A0","HistoryEventList_ID73","U16",,,,,"R","The 73th most recent historical event ID",,,
,"15A1","HistoryEventList_yM73","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15A2","HistoryEventList_dH73","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15A3","HistoryEventList_ms73","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15A4","HistoryEventList_ID74","U16",,,,,"R","The 74th most recent historical event ID",,,
,"15A5","HistoryEventList_yM74","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15A6","HistoryEventList_dH74","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15A7","HistoryEventList_ms74","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15A8","HistoryEventList_ID75","U16",,,,,"R","The 75th most recent historical event ID",,,
,"15A9","HistoryEventList_yM75","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15AA","HistoryEventList_dH75","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15AB","HistoryEventList_ms75","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15AC","HistoryEventList_ID76","U16",,,,,"R","The 76th most recent historical event ID",,,
,"15AD","HistoryEventList_yM76","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15AE","HistoryEventList_dH76","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15AF","HistoryEventList_ms76","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15B0","HistoryEventList_ID77","U16",,,,,"R","The 77th most recent historical event ID",,,
,"15B1","HistoryEventList_yM77","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15B2","HistoryEventList_dH77","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15B3","HistoryEventList_ms77","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15B4","HistoryEventList_ID78","U16",,,,,"R","The 78th most recent historical event ID",,,
,"15B5","HistoryEventList_yM78","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15B6","HistoryEventList_dH78","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15B7","HistoryEventList_ms78","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15B8","HistoryEventList_ID79","U16",,,,,"R","The 79th most recent historical event ID",,,
,"15B9","HistoryEventList_yM79","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15BA","HistoryEventList_dH79","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15BB","HistoryEventList_ms79","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15BC","HistoryEventList_ID80","U16",,,,,"R","The 80th most recent historical event ID",,,
,"15BD","HistoryEventList_yM80","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15BE","HistoryEventList_dH80","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15BF","HistoryEventList_ms80","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15C0","HistoryEventList_ID81","U16",,,,,"R","The 81th most recent historical event ID",,,
,"15C1","HistoryEventList_yM81","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15C2","HistoryEventList_dH81","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15C3","HistoryEventList_ms81","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15C4","HistoryEventList_ID82","U16",,,,,"R","The 82th most recent historical event ID",,,
,"15C5","HistoryEventList_yM82","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15C6","HistoryEventList_dH82","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15C7","HistoryEventList_ms82","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15C8","HistoryEventList_ID83","U16",,,,,"R","The 83th most recent historical event ID",,,
,"15C9","HistoryEventList_yM83","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15CA","HistoryEventList_dH83","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15CB","HistoryEventList_ms83","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15CC","HistoryEventList_ID84","U16",,,,,"R","The 84th most recent historical event ID",,,
,"15CD","HistoryEventList_yM84","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15CE","HistoryEventList_dH84","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15CF","HistoryEventList_ms84","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15D0","HistoryEventList_ID85","U16",,,,,"R","The 85th most recent historical event ID",,,
,"15D1","HistoryEventList_yM85","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15D2","HistoryEventList_dH85","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15D3","HistoryEventList_ms85","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15D4","HistoryEventList_ID86","U16",,,,,"R","The 86th most recent historical event ID",,,
,"15D5","HistoryEventList_yM86","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15D6","HistoryEventList_dH86","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15D7","HistoryEventList_ms86","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15D8","HistoryEventList_ID87","U16",,,,,"R","The 87th most recent historical event ID",,,
,"15D9","HistoryEventList_yM87","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15DA","HistoryEventList_dH87","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15DB","HistoryEventList_ms87","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15DC","HistoryEventList_ID88","U16",,,,,"R","The 88th most recent historical event ID",,,
,"15DD","HistoryEventList_yM88","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15DE","HistoryEventList_dH88","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15DF","HistoryEventList_ms88","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15E0","HistoryEventList_ID89","U16",,,,,"R","The 89th most recent historical event ID",,,
,"15E1","HistoryEventList_yM89","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15E2","HistoryEventList_dH89","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15E3","HistoryEventList_ms89","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15E4","HistoryEventList_ID90","U16",,,,,"R","The 90th most recent historical event ID",,,
,"15E5","HistoryEventList_yM90","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15E6","HistoryEventList_dH90","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15E7","HistoryEventList_ms90","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15E8","HistoryEventList_ID91","U16",,,,,"R","The 91th most recent historical event ID",,,
,"15E9","HistoryEventList_yM91","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15EA","HistoryEventList_dH91","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15EB","HistoryEventList_ms91","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15EC","HistoryEventList_ID92","U16",,,,,"R","The 92th most recent historical event ID",,,
,"15ED","HistoryEventList_yM92","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15EE","HistoryEventList_dH92","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15EF","HistoryEventList_ms92","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15F0","HistoryEventList_ID93","U16",,,,,"R","The 93th most recent historical event ID",,,
,"15F1","HistoryEventList_yM93","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15F2","HistoryEventList_dH93","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15F3","HistoryEventList_ms93","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15F4","HistoryEventList_ID94","U16",,,,,"R","The 94th most recent historical event ID",,,
,"15F5","HistoryEventList_yM94","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15F6","HistoryEventList_dH94","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15F7","HistoryEventList_ms94","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15F8","HistoryEventList_ID95","U16",,,,,"R","The 95th most recent historical event ID",,,
,"15F9","HistoryEventList_yM95","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15FA","HistoryEventList_dH95","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15FB","HistoryEventList_ms95","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"15FC","HistoryEventList_ID96","U16",,,,,"R","The 96th most recent historical event ID",,,
,"15FD","HistoryEventList_yM96","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"15FE","HistoryEventList_dH96","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"15FF","HistoryEventList_ms96","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1600","HistoryEventList_ID97","U16",,,,,"R","The 97th most recent historical event ID",,,
,"1601","HistoryEventList_yM97","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1602","HistoryEventList_dH97","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1603","HistoryEventList_ms97","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1604","HistoryEventList_ID98","U16",,,,,"R","The 98th most recent historical event ID",,,
,"1605","HistoryEventList_yM98","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"1606","HistoryEventList_dH98","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"1607","HistoryEventList_ms98","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1608","HistoryEventList_ID99","U16",,,,,"R","The 99th most recent historical event ID",,,
,"1609","HistoryEventList_yM99","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"160A","HistoryEventList_dH99","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"160B","HistoryEventList_ms99","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"160C","HistoryEventList_ID100","U16",,,,,"R","The 100th most recent historical event ID",,,
,"160D","HistoryEventList_yM100","U16",,,,,"R","High byte: the lower two digits of the year's decimal number;
Low byte: month. ",,,
,"160E","HistoryEventList_dH100","U16",,,,,"R","High byte: date;
Low byte: hour.",,,
,"160F","HistoryEventList_ms100","U16",,,,,"R","High byte: minutes;
Low byte: seconds.",,,
,"1610","EnergyStatistics1","U32","0,01","kWh",,,"R","Article 1 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1611",,,,,,,,,,,
,"1612","EnergyStatistics2","U32","0,01","kWh",,,"R","Article 2 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1613",,,,,,,,,,,
,"1614","EnergyStatistics3","U32","0,01","kWh",,,"R","Article 3 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1615",,,,,,,,,,,
,"1616","EnergyStatistics4","U32","0,01","kWh",,,"R","Article 4 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1617",,,,,,,,,,,
,"1618","EnergyStatistics5","U32","0,01","kWh",,,"R","Article 5 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1619",,,,,,,,,,,
,"161A","EnergyStatistics6","U32","0,01","kWh",,,"R","Article 6 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"161B",,,,,,,,,,,
,"161C","EnergyStatistics7","U32","0,01","kWh",,,"R","Article 7 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"161D",,,,,,,,,,,
,"161E","EnergyStatistics8","U32","0,01","kWh",,,"R","Article 8 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"161F",,,,,,,,,,,
,"1620","EnergyStatistics9","U32","0,01","kWh",,,"R","Article 9 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1621",,,,,,,,,,,
,"1622","EnergyStatistics10","U32","0,01","kWh",,,"R","Article 10 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1623",,,,,,,,,,,
,"1624","EnergyStatistics11","U32","0,01","kWh",,,"R","Article 11 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1625",,,,,,,,,,,
,"1626","EnergyStatistics12","U32","0,01","kWh",,,"R","Article 12 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1627",,,,,,,,,,,
,"1628","EnergyStatistics13","U32","0,01","kWh",,,"R","Article 13 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1629",,,,,,,,,,,
,"162A","EnergyStatistics14","U32","0,01","kWh",,,"R","Article 14 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"162B",,,,,,,,,,,
,"162C","EnergyStatistics15","U32","0,01","kWh",,,"R","Article 15 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"162D",,,,,,,,,,,
,"162E","EnergyStatistics16","U32","0,01","kWh",,,"R","Article 16 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"162F",,,,,,,,,,,
,"1630","EnergyStatistics17","U32","0,01","kWh",,,"R","Article 17 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1631",,,,,,,,,,,
,"1632","EnergyStatistics18","U32","0,01","kWh",,,"R","Article 18 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1633",,,,,,,,,,,
,"1634","EnergyStatistics19","U32","0,01","kWh",,,"R","Article 19 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1635",,,,,,,,,,,
,"1636","EnergyStatistics20","U32","0,01","kWh",,,"R","Article 20 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1637",,,,,,,,,,,
,"1638","EnergyStatistics21","U32","0,01","kWh",,,"R","Article 21 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1639",,,,,,,,,,,
,"163A","EnergyStatistics22","U32","0,01","kWh",,,"R","Article 22 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"163B",,,,,,,,,,,
,"163C","EnergyStatistics23","U32","0,01","kWh",,,"R","Article 23 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"163D",,,,,,,,,,,
,"163E","EnergyStatistics24","U32","0,01","kWh",,,"R","Article 24 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"163F",,,,,,,,,,,
,"1640","EnergyStatistics25","U32","0,01","kWh",,,"R","Article 25 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1641",,,,,,,,,,,
,"1642","EnergyStatistics26","U32","0,01","kWh",,,"R","Article 26 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1643",,,,,,,,,,,
,"1644","EnergyStatistics27","U32","0,01","kWh",,,"R","Article 27 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1645",,,,,,,,,,,
,"1646","EnergyStatistics28","U32","0,01","kWh",,,"R","Article 28 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1647",,,,,,,,,,,
,"1648","EnergyStatistics29","U32","0,01","kWh",,,"R","Article 29 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1649",,,,,,,,,,,
,"164A","EnergyStatistics30","U32","0,01","kWh",,,"R","Article 30 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"164B",,,,,,,,,,,
,"164C","EnergyStatistics31","U32","0,01","kWh",,,"R","Article 31 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"164D",,,,,,,,,,,
,"164E","EnergyStatistics32","U32","0,01","kWh",,,"R","Article 32 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"164F",,,,,,,,,,,
,"1650","EnergyStatistics33","U32","0,01","kWh",,,"R","Article 33 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1651",,,,,,,,,,,
,"1652","EnergyStatistics34","U32","0,01","kWh",,,"R","Article 34 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1653",,,,,,,,,,,
,"1654","EnergyStatistics35","U32","0,01","kWh",,,"R","Article 35 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1655",,,,,,,,,,,
,"1656","EnergyStatistics36","U32","0,01","kWh",,,"R","Article 36 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1657",,,,,,,,,,,
,"1658","EnergyStatistics37","U32","0,01","kWh",,,"R","Article 37 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"1659",,,,,,,,,,,
,"165A","EnergyStatistics38","U32","0,01","kWh",,,"R","Article 38 of historical electrical energy statistics.
The corresponding date and time refer to the setting register of energy statistics return.",,,
,"165B",,,,,,,,,,,
